,id,id_str,user_location,country_location
427,1361812424345665538,1361812424345665538,"Bloomington, IN",United States
428,1361811512113983492,1361811512113983492,"Toronto, Ontario",Canada
429,1361785106994716676,1361785106994716676,"Baltimore, MD",United States
430,1361723569789669376,1361723569789669376,"Lmaoville, ahahaburg",Unknown
431,1361713806204895236,1361713806204895236,"Fort Lauderdale, FL",United States
432,1361713498292707328,1361713498292707328,"Fort Lauderdale, FL",United States
433,1361712254392143872,1361712254392143872,"Fort Lauderdale, FL",United States
434,1361692444472057859,1361692444472057859,Washington D.C.,United States
435,1361674489772310530,1361674489772310530,"Tampa, FL",United States
436,1361649946550673416,1361649946550673416,"London , UK",United Kingdom
437,1361595177488420867,1361595177488420867,"Seattle, WA",United States
438,1361580238900105218,1361580238900105218,Singapore,Singapore
439,1361566347705090049,1361566347705090049,Not Available,Unknown
440,1361545302625427456,1361545302625427456,Mid-Atlantic,Unknown
441,1361518677926043649,1361518677926043649,En el paraiso de la libertad,Unknown
442,1361480665070411776,1361480665070411776,Not Available,Unknown
443,1361439070241624068,1361439070241624068,"Massachusetts, USA",United States
444,1361408970473107457,1361408970473107457,Not Available,Unknown
445,1361370877594660867,1361370877594660867,Not Available,Unknown
446,1361314570049052677,1361314570049052677,Monaco,Monaco
447,1361301562170224642,1361301562170224642,Kenya,Kenya
448,1361281813474398208,1361281813474398208,UK,United Kingdom
449,1361224244206723073,1361224244206723073,"Brussels, Belgium",Belgium
450,1361116289792638979,1361116289792638979,"Maine, USA",United States
451,1360996383113818113,1360996383113818113,"Brooklyn, NY",United States
